"GEOID","Row_num","Name","tree_No","tree_Yes","Decision_Tree","forest_No","forest_Yes","Random_Forest","bayes_No","bayes_Yes","Naive_Bayes","new_blocks_xgboost","XGBoost","Agree","Median_Family_Income","Transp_Public_betw2024","Transp_Walked","est_female_25_29","HH_Nonfamily","Transp_Walked_betw1519","Transp_betw2024","HH_Other","HH_Alone","est_male_25_29","CENTLAT","CENTLON"
"170312503003",2227,"Block Group 3, Census Tract 2503, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.808,0.192,0,1,2.8415999961852e-38,0,0.0260512586683035,0,0,21927,0,0,47,227,0,0,141,159,46,41.9116135,-87.7630401
"170312504003",2228,"Block Group 3, Census Tract 2504, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.836,0.164,0,1,3.98134280956691e-46,0,0.0574669688940048,0,0,32316,26,0,37,141,0,95,152,81,30,41.9110917,-87.7734154
"170312505003",2229,"Block Group 3, Census Tract 2505, Cook County, Illinois",0.869565217391304,0.130434782608696,0,0.67,0.33,0,1,5.58739946394473e-31,0,0.0807392224669456,0,0,139063,0,0,50,96,0,68,67,96,24,41.9107983,-87.7985107
"170312506003",2230,"Block Group 3, Census Tract 2506, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.822,0.178,0,1,4.23494167397291e-40,0,0.0254033505916595,0,0,62125,0,0,17,45,0,60,148,45,0,41.9038456,-87.7729937
"170312507003",2231,"Block Group 3, Census Tract 2507, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.808,0.192,0,1,9.30089330906465e-43,0,0.055199783295393,0,0,71337,0,36,59,89,0,69,257,89,63,41.9030876,-87.7619762
"170312511003",2232,"Block Group 3, Census Tract 2511, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.8,0.2,0,1,4.57369349839119e-37,0,0.0325388200581074,0,0,41908,0,19,50,92,0,49,157,74,16,41.8967761,-87.7538072
"170312512003",2233,"Block Group 3, Census Tract 2512, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.82,0.18,0,1,2.77403969968297e-38,0,0.0256440453231335,0,0,65147,0,0,55,40,0,26,32,40,16,41.8967105,-87.7615061
"170312513003",2234,"Block Group 3, Census Tract 2513, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.806,0.194,0,1,3.49884677576229e-39,0,0.0211061146110296,0,0,20833,0,8,17,49,0,0,127,49,28,41.8965986,-87.7707298
"170312514003",2235,"Block Group 3, Census Tract 2514, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.818,0.182,0,1,1.04975406936875e-37,0,0.0260512586683035,0,0,40250,0,0,63,256,0,144,170,206,34,41.8928856,-87.7725677
"170312515003",2236,"Block Group 3, Census Tract 2515, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.798,0.202,0,1,5.0094101341753e-39,0,0.0302044823765755,0,0,20720,0,0,44,162,0,14,248,152,93,41.893602,-87.7619195
"170312516003",2237,"Block Group 3, Census Tract 2516, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.818,0.182,0,1,2.13504862238592e-39,0,0.0344761684536934,0,0,31050,0,0,37,107,0,22,175,97,106,41.8913882,-87.7542471
"170312519003",2238,"Block Group 3, Census Tract 2519, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.83,0.17,0,1,7.72039086125307e-45,0,0.027588814496994,0,0,17774,0,0,41,125,0,15,179,113,28,41.8857783,-87.7626533
"170312522013",2239,"Block Group 3, Census Tract 2522.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.796,0.204,0,1,1.73434919619639e-40,0,0.0195248164236546,0,0,52292,11,0,54,268,0,39,228,251,51,41.8748385,-87.7520367
